regressor,AcousticContaminationMadrid-no-missing,AluminiumConcentration,AppliancesEnergy,BIDMC32HR,BIDMC32RR,BIDMC32SpO2,BarCrawl6min,BeijingIntAirportPM25Quality,BeijingPM10Quality-no-missing,BeijingPM25Quality-no-missing,BenzeneConcentration-no-missing,BinanceCoinSentiment,BitcoinSentiment,BoronConcentration,CalciumConcentration,CardanoSentiment,ChilledWaterPredictor,CopperConcentration,Covid19Andalusia,Covid3Month,DailyOilGasPrices,DailyTemperatureLatitude,DhakaHourlyAirQuality,ElectricMotorTemperature,ElectricityPredictor,EthereumSentiment,FloodModeling1,FloodModeling2,FloodModeling3,GasSensorArrayAcetone,GasSensorArrayEthanol,HotwaterPredictor,HouseholdPowerConsumption1-no-missing,HouseholdPowerConsumption2-no-missing,IEEEPPG,IronConcentration,LPGasMonitoringHomeActivity,LiveFuelMoistureContent,MadridPM10Quality-no-missing,MagnesiumConcentration,ManganeseConcentration,MethaneMonitoringHomeActivity,MetroInterstateTrafficVolume,NaturalGasPricesSentiment,NewsHeadlineSentiment,NewsTitleSentiment,OccupancyDetectionLight,PPGDalia-equal-length,ParkingBirmingham-equal-length,PhosphorusConcentration,PotassiumConcentration,PrecipitationAndalusia-no-missing,SierraNevadaMountainsSnow,SodiumConcentration,SolarRadiationAndalusia-no-missing,SteamPredictor,SulphurConcentration,TetuanEnergyConsumption,VentilatorPressure,WaveDataTension,WindTurbinePower,ZincConcentration
metal-rats-1nn,4.076598472430393,247.1979927969045,3.993356531359704,0.5783942758742192,0.4994493877436099,0.2868729593311348,0.045652221352232,52.96176859819933,63.84826493657735,40.36065176690217,0.229160489580968,0.3448161943769282,0.1970547955872114,1.885017573488672,1938.7468849226427,0.2973890029669043,2146.7498911895887,1.840679374928508,0.0174545671209575,0.0547209611276185,1.5944423247384338,1.6159740412763297,4.813816587435087,4.656283975192948,589.4681400820284,0.2258758621946083,0.0116173312567744,0.0040494993737026,0.0051343888479314,0.1930651298843828,0.1566687944991748,1156.251419929819,148.00899903915354,29.39287417621664,3.698176360187517,61.92113524676817,1.2620080684903343,44.509484044086086,8.394589808172466,160.8196348733945,87.76920410551212,0.5052408126660775,567.4640098053052,0.0592353517824575,0.142229707280456,0.1371251077023674,67.10728354862029,6.680548130643419,0.1145911218180744,19.0639324207586,172.41864902727548,0.3793916959513392,43.00014168897594,652.7057211233224,0.654304060278608,31524.692670528377,213.84970055401263,1283.482888464013,0.7505935582649435,15.17910869667976,97.85141544533722,1.429352328589416
metal-rats-5nn,4.076598472430393,245.19294513116984,4.233830273760562,0.5783942758742192,0.4994493877436099,0.2868729593311348,0.0447971971545257,50.83428843214202,63.84826493657735,40.36065176690217,0.229160489580968,0.3448161943769282,0.2011733612470649,1.762709178544213,1938.7468849226427,0.2973890029669043,2146.7498911895887,1.863294371383796,0.0174545671209575,0.0547209611276185,1.5944423247384338,1.6159740412763297,3.1710198556711484,4.656283975192948,589.4681400820284,0.2258758621946083,0.006429460674923,0.0054770253620852,0.0063612726587229,0.2728396949299533,0.3292799579339202,1156.251419929819,148.00899903915354,30.61303779453938,3.698176360187517,62.132096835507255,1.2957059066628205,44.80283900848645,6.951213912653612,160.8196348733945,81.28308456910825,0.530501092709661,4738.932771160809,0.0596807425160855,0.1434655316051152,0.1384674942234113,67.10728354862029,6.680548130643419,0.1169744742740565,19.0639324207586,172.41864902727548,0.3793916959513392,43.00014168897594,652.7057211233224,0.654304060278608,29704.370205910363,215.0778565912935,10216.802082536957,0.6166131858681151,15.17910869667976,97.85141544533722,1.429352328589416
metal-rats-nb,4.076598472430393,247.1979927969045,4.233830273760562,0.5783942758742192,0.4994493877436099,0.2868729593311348,0.045652221352232,50.83428843214202,63.84826493657735,40.36065176690217,0.229160489580968,0.3776832852496398,0.2184666955985393,1.7102203412704673,2471.5024711713395,0.3493698286151534,2146.7498911895887,1.840679374928508,0.0174545671209575,0.0547209611276185,2.0303148094251298,1.6159740412763297,4.053259306181081,4.728375238594748,589.4681400820284,0.2519598944019685,0.006429460674923,0.0054770253620852,0.0063612726587229,0.2728396949299533,0.3292799579339202,1156.251419929819,104.4057823639218,30.61303779453938,3.698176360187517,64.44217143131249,1.294682407509683,44.80283900848645,6.951213912653612,127.51011959825036,85.29851986156606,0.5571526166705626,4738.932771160809,0.1507873870241266,0.1434655316051152,0.1384674942234113,85.65542644246801,6.680548130643419,0.1299165196435988,17.76582541053559,172.41864902727548,0.3793916959513392,33.83379520366146,382.1992831891184,0.654304060278608,29704.370205910363,206.5099142693503,10216.802082536957,0.3761823651579164,16.871449288280683,283.4952466199442,1.5427919291020114
metal-rats-rf,4.076598472430392,246.39597373061065,2.778071268334549,0.5783942758742191,0.4994493877436099,0.2868729593311348,0.06786422806414129,51.25978446535347,63.848264936577365,40.360651766902166,2.51852985726919,0.3448161943769282,0.19705479558721137,1.86055589449978,2005.5277558375074,0.29738900296690435,2146.7498911895887,1.8542483728016808,0.014063565059407318,0.03994135138339426,1.594442324738434,1.61597404127633,3.171019855671148,4.657990694631917,589.4681400820283,0.22344774535734852,0.0116173312567744,0.00519152016440868,0.0063612726587228986,0.19306512988438282,0.15666879449917478,1156.2514199298187,148.0089990391535,29.392874176216644,3.6981763601875164,62.00551988226381,1.2620080684903345,44.43983793865813,7.077386785965551,130.8410711257648,82.58030847638904,0.5052408126660773,3485.8535086688908,0.059324429929183096,0.14222970728045597,0.1371251077023674,69.79490123308435,6.680548130643418,0.11578279804606544,18.674500317691695,172.41864902727548,0.3685324496493104,36.61190363048513,616.6001810804281,0.6543040602786079,29704.37020591036,214.9550409875654,2176.814807871307,0.5789813230088013,15.179108696679759,116.4157985627979,1.4454641494574414
metal-rats-svm,4.076598472430393,245.19294513116984,4.233830273760562,0.5783942758742192,0.4994493877436099,0.2868729593311348,0.0447971971545257,52.96176859819933,63.84826493657735,40.36065176690217,0.229160489580968,0.3460514512760802,0.1970547955872114,1.762709178544213,1938.7468849226427,0.2973890029669043,2146.7498911895887,1.840679374928508,0.0174545671209575,0.0397730281788886,1.5944423247384338,1.6159740412763297,3.1710198556711484,4.656283975192948,589.4681400820284,0.2519598944019685,0.006429460674923,0.0054770253620852,0.0063612726587229,0.2728396949299533,0.3292799579339202,1156.251419929819,104.4057823639218,30.61303779453938,12.474584903133808,62.132096835507255,1.2957059066628205,41.17282831020327,6.951213912653612,160.8196348733945,81.28308456910825,0.530501092709661,559.270839378965,0.0596807425160855,0.1434655316051152,0.1384674942234113,80.54537197094061,6.680548130643419,0.1169744742740565,19.0639324207586,172.41864902727548,0.3851206692219008,43.00014168897594,382.1992831891184,0.654304060278608,31131.866345589173,206.5099142693503,1221.9210712513586,0.6166131858681151,16.871449288280683,97.85141544533722,1.429352328589416
baseline,4.397090213589447,253.90844506212738,3.0835134657071337,2.3894516525533627,1.0255034745010074,0.808879630708205,498.4833315677938,55.28030738055855,76.06553969881897,50.80109325375538,1.8492535384093145,0.36266684990990394,0.212610346642087,1.967676755788863,2280.471930763064,0.3106503257324365,2375.1759456435966,1.8893686160827579,0.01372754935955375,0.060566290630541426,1.7646073762435985,2.619780736773831,9.16754864270061,6.5664287099793635,583.9493804386573,0.24186354369657975,0.012707428099575199,0.006470391188737474,0.010226360421640174,0.2076973150553467,0.20468019127082288,1278.2910827449305,181.73214836548357,32.80627432857818,13.083172591436975,63.75762044890111,1.3044542360191151,42.79808361954283,8.222070368802738,167.43348046214862,85.57543380285686,0.5451584102097049,1465.9490817409032,0.07586588155606572,0.14703840974172472,0.14175609299371428,89.07478008040663,12.261780728655868,0.12886664313810814,20.380986736836483,186.6743372692095,0.3752543385033517,47.86071870164125,520.0164320326179,0.63199413404262,31070.20186216296,221.85444845802112,2493.6468878950072,0.7864536121316683,15.491681855958959,180.97079040901906,1.498290716512889
topline,3.281020661923991,234.09293277349693,2.053976349973669,0.5783942758742192,0.4914080439353886,0.2868729593311348,0.0447971971545257,50.26983514170772,63.84826493657735,40.36065176690217,0.229160489580968,0.3448161943769282,0.1970547955872114,1.7102203412704673,1783.894975360564,0.2955509292694798,2146.7498911895887,1.826204250962012,0.0126102784616001,0.0382991725229249,1.490441862151815,1.6159740412763297,1.78426965652235,4.650170189747159,529.1260045313838,0.2234477453573485,0.006429460674923,0.0040494993737026,0.0051343888479314,0.1434522237256383,0.1499463014357847,1156.251419929819,104.04042218119474,28.23567982534257,3.698176360187517,59.62378740569845,1.2620080684903343,40.610073264517226,6.951213912653612,127.51011959825036,79.91395867681987,0.5052408126660775,552.1066901885266,0.0547984664272498,0.142229707280456,0.1371251077023674,67.10728354862029,6.680548130643419,0.1113713375470148,17.76582541053559,167.680157908329,0.3452391757875788,33.83379520366146,312.77626881618966,0.6195325190618668,29704.370205910363,206.0873049066288,1221.9210712513586,0.3761823651579164,14.912085047055344,44.65780016793407,1.3815161749410665
