regressor,AppliancesEnergy,BeijingPM10Quality-no-missing,BeijingPM25Quality-no-missing,BenzeneConcentration-no-missing,BIDMC32HR,BIDMC32RR,BIDMC32SpO2,Covid3Month,FloodModeling1,FloodModeling2,FloodModeling3,HouseholdPowerConsumption1-no-missing,HouseholdPowerConsumption2-no-missing,IEEEPPG,LiveFuelMoistureContent,NewsHeadlineSentiment,NewsTitleSentiment,PPGDalia-equal-length,Covid19Andalusia,BeijingIntAirportPM25Quality,ParkingBirmingham-equal-length,TetuanEnergyConsumption,BarCrawl6min,MetroInterstateTrafficVolume,ASHRAEGreatEnergyPredictorHotwater,ASHRAEGreatEnergyPredictorSteam,ASHRAEGreatEnergyPredictorChilledWater,ASHRAEGreatEnergyPredictorElectricity,MadridPM10Quality-no-missing,GasSensorArrayEthanol,GasSensorArrayAcetone,SierraNevadaMountainsSnow,BitcoinSentiment,EthereumSentiment,CardanoSentiment,BinanceCoinSentiment,ElectricMotorTemperature,SolarRadiationAndalusia-no-missing,PrecipitationAndalusia-no-missing,AcousticContaminationMadrid-no-missing,VentilatorPressure,OccupancyDetectionLight,WindTurbinePower,DhakaHourlyAirQuality,DailyOilGasPrices,WaveDataTension,NaturalGasPricesSentiment,DailyTemperatureLatitude,MethaneMonitoringHomeActivity,LPGasMonitoringHomeActivity,AfricaSoilAlphaKBrAluminium,AfricaSoilAlphaKBrBoron,AfricaSoilAlphaKBrCopper,AfricaSoilAlphaZnSeIron,AfricaSoilAlphaZnSeManganese,AfricaSoilAlphaZnSeSodium,AfricaSoilHTSXTPhosphorus,AfricaSoilHTSXTPotassium,AfricaSoilHTSXTMagnesium,AfricaSoilMPASulphur,AfricaSoilMPAZinc,AfricaSoilMPACalcium
DrCIF,2.4046700560977268,70.57271345821671,47.127547362468334,3.66604308552727,1.2702813222434703,0.9154015558461289,0.41984961073893523,0.0397730281788886,0.009462635540686966,0.005180100023250289,0.006438930644197426,165.76667675848248,30.635327450401313,12.474584903133808,40.610073264517226,0.14559118777068522,0.140534818075175,11.66921973253602,0.012818763673058464,52.96176859819933,0.11697447427405654,1221.9210712513586,0.044797197154525785,552.1066901885266,1246.4675906888203,31131.866345589173,2241.0643408423402,587.4044025415366,8.646174688914424,0.15177412583742483,0.18454768288181012,43.00014168897594,0.1970547955872114,0.22344774535734852,0.2973890029669043,0.3448161943769282,4.656283975192948,0.6216145843067189,0.3851206692219008,4.1199961019160645,0.6166131858681151,80.54537197094061,97.85141544533722,3.1710198556711484,1.5944423247384338,15.17910869667976,0.05968074251608555,1.9504073940634312,0.5052408126660775,1.2620080684903345,245.19294513116984,1.762709178544213,1.826204250962012,62.132096835507255,81.28308456910825,312.77626881618966,19.063932420758594,167.680157908329,160.81963487339453,206.08730490662873,1.429352328589416,1938.7468849226427
FreshPRINCE,2.053976349973669,66.50944565185337,43.418728800214396,2.1322540552978704,1.0398761241560122,0.6882746503274835,0.3407657397909372,0.03829917252292494,0.008750739064556623,0.0050277458406531965,0.005582533044764509,104.04042218119474,29.392874176216637,10.115907345208967,41.17282831020327,0.14561201237563726,0.14061482660271,10.620002017418718,0.0126102784616001,50.371715529089805,0.11459112181807447,1283.482888464013,0.045652221352232084,559.270839378965,1240.3766587007126,31014.82502545454,2479.2033549036278,582.6548476760948,8.21294264577299,0.18598322813778081,0.2010618999856141,36.92058234457665,0.2011733612470649,0.22587586219460837,0.30172655386617625,0.3460514512760802,4.650170189747159,0.6195325190618668,0.36129295211462453,3.281020661923991,0.6015145405477885,67.10728354862029,44.65780016793407,1.78426965652235,1.490441862151815,14.912085047055344,0.059235351782457535,1.7829110454788966,0.530501092709661,1.2957059066628203,269.9898932626672,1.8800721260875737,1.8458507537277773,65.3527316402581,84.62758495068505,407.9308834995078,19.149349999323853,174.85861976327138,167.9659142814295,222.42425495335235,1.5893286325673874,2189.777141325895
InceptionE,4.233830273760562,63.84826493657735,40.36065176690217,0.22916048958096802,0.5783942758742192,0.4994493877436099,0.2868729593311348,0.054720961127618574,0.006429460674923055,0.005477025362085207,0.006361272658722981,104.40578236392179,30.61303779453938,3.6981763601875173,44.802839008486444,0.1434655316051152,0.13846749422341134,6.680548130643419,0.017454567120957557,50.83428843214202,0.12991651964359885,10216.802082536955,0.06786422806414136,4738.932771160809,1156.2514199298187,29704.370205910363,2146.7498911895887,589.4681400820284,6.951213912653612,0.3292799579339202,0.27283969492995336,33.83379520366146,0.21846669559853932,0.25195989440196853,0.3493698286151534,0.37768328524963984,4.728375238594748,0.654304060278608,0.3793916959513392,4.076598472430393,0.3761823651579164,85.65542644246801,283.4952466199442,4.053259306181081,2.0303148094251298,16.871449288280683,0.1507873870241266,1.6159740412763297,0.5571526166705626,1.294682407509683,247.19799279690451,1.7102203412704673,1.840679374928508,64.44217143131249,85.29851986156606,382.1992831891184,17.76582541053559,172.41864902727548,127.51011959825036,206.5099142693503,1.5427919291020114,2471.5024711713395
MultiROCKET,2.903262102783747,89.98578497274188,57.010578980394506,1.3491335272756295,0.7283464335021184,0.49140804393538867,0.33727862220498495,0.18797942097704806,0.011617331256774487,0.0040494993737026546,0.00513438884793149,148.00899903915354,28.235679825342572,8.771683601179326,47.8935723222601,0.1564992968931827,0.14986337861736873,11.790562400889645,0.013022529426081288,56.587810773787645,0.14126813679444652,1529.3267182169463,3987.512042223076,3576.1666034704567,1252.54513734923,30576.846180374127,2419.593925330006,596.3895995294836,7.934148987581661,0.15666879449917487,0.14345222372563837,47.80648605704774,0.20402432808132687,0.24902794722939126,0.32956265325649875,0.39066609904037275,7.379061751370721,0.6314988944072081,0.3617442201323682,4.263101314422104,0.7505935582649435,89.43531030365314,112.98943263210809,4.25638744740618,1.7735782116042302,15.771151500074161,0.07662336183294367,2.9031655347922634,0.5761072002463982,1.357416468060476,247.97272863909058,2.026824124822168,1.8385082488951927,59.62378740569845,87.76920410551212,532.3539209803415,18.97688136117791,168.93013028049407,133.21275369917396,213.84970055401263,1.3815161749410665,2050.0483364474176
ROCKET,2.7685547982879113,94.55786310673153,67.00521068220793,2.217475956490422,0.6563183907174223,0.5264792626791528,0.30032246554806136,0.042819043596750636,0.017303938841388797,0.009273728265396903,0.017290911710232264,214.81281437063433,30.675484876038315,7.1597206140516345,44.509484044086086,0.14683766247939214,0.14175929185449043,12.239815864242635,0.014202467553884102,60.84681768460791,0.1756885095732078,1790.3199832486066,0.053276320548502336,613.541498892285,1236.4084576364085,30813.803716150403,2517.9014170962896,575.695826721659,8.458431063426435,0.2135503507306179,0.1942878575496089,68.54777467484011,0.2688381683606918,0.28707748051575444,0.30646679476523586,0.38717941072271383,12.270971722829243,0.6446098661272754,0.34523917578757884,4.632819272992504,0.8529131000388314,111.42290524947391,611.4291843854371,46.896155553571724,2.2752537744765773,15.143282844470992,0.09087983804463153,4.734259668738918,0.6238933391999234,1.3494834647414118,247.12905336194567,2.1310666822307494,2.04207233424495,59.65266684206322,87.29099568455068,1009.6549122714338,23.40036016711198,209.23087322822167,144.87897636223076,272.0340962190314,1.489651766249414,2487.9681470902956
RandF,3.993356531359704,72.07744356618556,46.9725521733333,0.2817141181525292,5.970799367058748,1.9545367207943345,1.8665780631516316,0.040290085926196186,0.019078285468295497,0.00947554038732323,0.016772601135028247,241.39959913492243,39.29112396385232,21.76049232318868,41.31614902732834,0.1466112773339815,0.14152025618044736,15.030820506532823,0.013807817180383502,54.35613812412564,0.12056738875692861,1273.2836800934592,0.048359221213598015,567.7081855138856,1309.6881728136107,32437.461664033857,2472.549496591646,529.1260045313838,8.394589808172466,0.25612585269789434,0.2605290075707634,52.273698724156354,0.200167787527421,0.23361955120923925,0.29555092926947985,0.3531620629733133,5.27924569121211,0.6349664644921477,0.39790701987619753,5.074594408586477,0.6769389543241018,100.71136398168326,106.01882673375623,5.663054580381685,1.7086149105043837,15.408956940420532,0.056333491784076296,3.141817925679906,0.5268673402891039,1.3064591014040088,294.6409821442463,2.3067169214797576,1.9560321174774238,73.1118845055664,94.31073126540265,465.47355642173864,23.708127751061124,230.15812223150775,245.52988760045682,225.7247652025372,1.5356453777880321,2978.099561137566
RotF,2.5575913635412304,66.31562754159376,42.839214406465416,0.7287375501029192,4.884870332480605,1.7112748675746492,1.6441201282076021,0.04169759280771882,0.017987865189237714,0.007900158674306488,0.01568419336255493,199.23459859946706,37.59093586885663,20.212812423981738,41.337340647503694,0.14946060219534793,0.14416357069374425,14.680581684397664,0.013260111017584866,50.269835141707716,0.11137133754701482,1231.7521919314227,0.048150289298249015,567.4640098053052,1383.3061305820363,31524.692670528377,2437.387177248349,606.6626790970364,8.11662862568369,0.14994630143578475,0.19306512988438287,48.69493372060626,0.20143053785844417,0.22942334641503248,0.30528542348892157,0.3538277654115526,4.698073982691435,0.6238755079667265,0.36900524244589966,5.126172684282356,0.5685454686969632,75.28684114966464,74.24638201570691,2.702426154435607,1.5593852614700323,15.212093469113261,0.05858841303695507,2.6779043817190176,0.5244137231602285,1.289305110143114,234.09293277349698,1.8850175734886714,1.8632943713837957,61.92113524676817,79.91395867681987,652.7057211233224,20.636405123606092,186.23895118465722,166.50494310638854,215.0778565912935,1.5099114329295416,1783.894975360564
TSF,3.7528662498525183,84.65717435665162,61.67426185805701,4.189509524846909,3.9867269743943057,1.4172033071073118,1.2752494566923533,0.038951019907185955,0.011029168760738967,0.005379331583182223,0.008546051969689971,276.18829447609227,36.01573067337831,20.472003160564135,40.74238233195745,0.142229707280456,0.13712510770236747,15.382695492586002,0.012643860442880484,66.01408476080832,0.12055565669753782,1402.286487417293,0.046510841643132884,552.4020555169906,1401.2850942588057,31357.749089262852,2286.9579619469287,604.1935433300353,9.062433218216622,0.19411291889398544,0.21179502391500263,51.80833719926543,0.2097270988759967,0.23447652224929558,0.29985141963112244,0.3479485302286312,8.869247128196537,0.6255511757004084,0.402333732496905,4.602418792161685,1.8483277241546863,102.43373799674914,117.07803527192868,4.813816587435087,1.684827855578186,15.435327061576938,0.05479846642724986,2.1518059024418856,0.5170911567356848,1.2805733611410732,245.05103238749788,2.038787098387304,1.902307477042403,63.82448968403482,84.10939130921025,397.03690995929094,20.347011661116742,183.8791945299195,193.04561417586436,213.12769496796273,1.5081280899362428,2343.7379286487935
