name,metal-rats-1nn,metal-rats-5nn,metal-rats-nb,metal-rats-rf,metal-rats-svm
AcousticContaminationMadrid-no-missing,4.076598472430393,4.076598472430393,4.076598472430393,4.076598472430392,4.076598472430393
AluminiumConcentration,247.1979927969045,245.19294513116984,247.1979927969045,246.39597373061065,245.19294513116984
AppliancesEnergy,3.993356531359704,4.233830273760562,4.233830273760562,2.778071268334549,4.233830273760562
BIDMC32HR,0.5783942758742192,0.5783942758742192,0.5783942758742192,0.5783942758742191,0.5783942758742192
BIDMC32RR,0.4994493877436099,0.4994493877436099,0.4994493877436099,0.4994493877436099,0.4994493877436099
BIDMC32SpO2,0.2868729593311348,0.2868729593311348,0.2868729593311348,0.2868729593311348,0.2868729593311348
BarCrawl6min,0.045652221352232,0.0447971971545257,0.045652221352232,0.06786422806414129,0.0447971971545257
BeijingIntAirportPM25Quality,52.96176859819933,50.83428843214202,50.83428843214202,51.25978446535347,52.96176859819933
BeijingPM10Quality-no-missing,63.84826493657735,63.84826493657735,63.84826493657735,63.848264936577365,63.84826493657735
BeijingPM25Quality-no-missing,40.36065176690217,40.36065176690217,40.36065176690217,40.360651766902166,40.36065176690217
BenzeneConcentration-no-missing,0.229160489580968,0.229160489580968,0.229160489580968,2.51852985726919,0.229160489580968
BinanceCoinSentiment,0.3448161943769282,0.3448161943769282,0.3776832852496398,0.3448161943769282,0.3460514512760802
BitcoinSentiment,0.1970547955872114,0.2011733612470649,0.2184666955985393,0.19705479558721137,0.1970547955872114
BoronConcentration,1.885017573488672,1.762709178544213,1.7102203412704673,1.86055589449978,1.762709178544213
CalciumConcentration,1938.7468849226427,1938.7468849226427,2471.5024711713395,2005.5277558375074,1938.7468849226427
CardanoSentiment,0.2973890029669043,0.2973890029669043,0.3493698286151534,0.29738900296690435,0.2973890029669043
ChilledWaterPredictor,2146.7498911895887,2146.7498911895887,2146.7498911895887,2146.7498911895887,2146.7498911895887
CopperConcentration,1.840679374928508,1.863294371383796,1.840679374928508,1.8542483728016808,1.840679374928508
Covid19Andalusia,0.0174545671209575,0.0174545671209575,0.0174545671209575,0.014063565059407318,0.0174545671209575
Covid3Month,0.0547209611276185,0.0547209611276185,0.0547209611276185,0.03994135138339426,0.0397730281788886
DailyOilGasPrices,1.5944423247384338,1.5944423247384338,2.0303148094251298,1.594442324738434,1.5944423247384338
DailyTemperatureLatitude,1.6159740412763297,1.6159740412763297,1.6159740412763297,1.61597404127633,1.6159740412763297
DhakaHourlyAirQuality,4.813816587435087,3.1710198556711484,4.053259306181081,3.171019855671148,3.1710198556711484
ElectricMotorTemperature,4.656283975192948,4.656283975192948,4.728375238594748,4.657990694631917,4.656283975192948
ElectricityPredictor,589.4681400820284,589.4681400820284,589.4681400820284,589.4681400820283,589.4681400820284
EthereumSentiment,0.2258758621946083,0.2258758621946083,0.2519598944019685,0.22344774535734852,0.2519598944019685
FloodModeling1,0.0116173312567744,0.006429460674923,0.006429460674923,0.0116173312567744,0.006429460674923
FloodModeling2,0.0040494993737026,0.0054770253620852,0.0054770253620852,0.00519152016440868,0.0054770253620852
FloodModeling3,0.0051343888479314,0.0063612726587229,0.0063612726587229,0.0063612726587228986,0.0063612726587229
GasSensorArrayAcetone,0.1930651298843828,0.2728396949299533,0.2728396949299533,0.19306512988438282,0.2728396949299533
GasSensorArrayEthanol,0.1566687944991748,0.3292799579339202,0.3292799579339202,0.15666879449917478,0.3292799579339202
HotwaterPredictor,1156.251419929819,1156.251419929819,1156.251419929819,1156.2514199298187,1156.251419929819
HouseholdPowerConsumption1-no-missing,148.00899903915354,148.00899903915354,104.4057823639218,148.0089990391535,104.4057823639218
HouseholdPowerConsumption2-no-missing,29.39287417621664,30.61303779453938,30.61303779453938,29.392874176216644,30.61303779453938
IEEEPPG,3.698176360187517,3.698176360187517,3.698176360187517,3.6981763601875164,12.474584903133808
IronConcentration,61.92113524676817,62.132096835507255,64.44217143131249,62.00551988226381,62.132096835507255
LPGasMonitoringHomeActivity,1.2620080684903343,1.2957059066628205,1.294682407509683,1.2620080684903345,1.2957059066628205
LiveFuelMoistureContent,44.509484044086086,44.80283900848645,44.80283900848645,44.43983793865813,41.17282831020327
MadridPM10Quality-no-missing,8.394589808172466,6.951213912653612,6.951213912653612,7.077386785965551,6.951213912653612
MagnesiumConcentration,160.8196348733945,160.8196348733945,127.51011959825036,130.8410711257648,160.8196348733945
ManganeseConcentration,87.76920410551212,81.28308456910825,85.29851986156606,82.58030847638904,81.28308456910825
MethaneMonitoringHomeActivity,0.5052408126660775,0.530501092709661,0.5571526166705626,0.5052408126660773,0.530501092709661
MetroInterstateTrafficVolume,567.4640098053052,4738.932771160809,4738.932771160809,3485.8535086688908,559.270839378965
NaturalGasPricesSentiment,0.0592353517824575,0.0596807425160855,0.1507873870241266,0.059324429929183096,0.0596807425160855
NewsHeadlineSentiment,0.142229707280456,0.1434655316051152,0.1434655316051152,0.14222970728045597,0.1434655316051152
NewsTitleSentiment,0.1371251077023674,0.1384674942234113,0.1384674942234113,0.1371251077023674,0.1384674942234113
OccupancyDetectionLight,67.10728354862029,67.10728354862029,85.65542644246801,69.79490123308435,80.54537197094061
PPGDalia-equal-length,6.680548130643419,6.680548130643419,6.680548130643419,6.680548130643418,6.680548130643419
ParkingBirmingham-equal-length,0.1145911218180744,0.1169744742740565,0.1299165196435988,0.11578279804606544,0.1169744742740565
PhosphorusConcentration,19.0639324207586,19.0639324207586,17.76582541053559,18.674500317691695,19.0639324207586
