classifier,Adiac,ArrowHead,Beef,BeetleFly,BirdChicken,Car,CBF,ChlorineConcentration,CinCECGTorso,Coffee,Computers,CricketX,CricketY,CricketZ,DiatomSizeReduction,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,DistalPhalanxTW,Earthquakes,ECG200,ECG5000,ECGFiveDays,ElectricDevices,FaceAll,FaceFour,FacesUCR,FiftyWords,Fish,FordA,FordB,GunPoint,Ham,HandOutlines,Haptics,Herring,InlineSkate,InsectWingbeatSound,ItalyPowerDemand,LargeKitchenAppliances,Lightning2,Lightning7,Mallat,Meat,MedicalImages,MiddlePhalanxOutlineAgeGroup,MiddlePhalanxOutlineCorrect,MiddlePhalanxTW,MoteStrain,NonInvasiveFetalECGThorax1,NonInvasiveFetalECGThorax2,OliveOil,OSULeaf,PhalangesOutlinesCorrect,Phoneme,Plane,ProximalPhalanxOutlineAgeGroup,ProximalPhalanxOutlineCorrect,ProximalPhalanxTW,RefrigerationDevices,ScreenType,ShapeletSim,ShapesAll,SmallKitchenAppliances,SonyAIBORobotSurface1,SonyAIBORobotSurface2,Strawberry,StarLightCurves,SwedishLeaf,Symbols,SyntheticControl,ToeSegmentation1,ToeSegmentation2,Trace,TwoLeadECG,TwoPatterns,UWaveGestureLibraryAll,UWaveGestureLibraryX,UWaveGestureLibraryY,UWaveGestureLibraryZ,Wafer,Wine,WordSynonyms,Worms,WormsTwoClass,Yoga,ACSF1,BME,EthanolLevel,FreezerRegularTrain,FreezerSmallTrain,GunPointAgeSpan,GunPointMaleVersusFemale,GunPointOldVersusYoung,InsectEPGRegularTrain,InsectEPGSmallTrain,PigAirwayPressure,PigArtPressure,PigCVP,PowerCons,SmoothSubspace,UMD,HouseTwenty,SemgHandGenderCh2,SemgHandMovementCh2,SemgHandSubjectCh2,MixedShapesRegularTrain,MixedShapesSmallTrain,EOGHorizontalSignal,EOGVerticalSignal,Rock,Crop,Chinatown,AconityMINIPrinterLargeEq,AconityMINIPrinterSmallEq,AllGestureWiimoteXEq,AllGestureWiimoteYEq,AllGestureWiimoteZEq,AsphaltObstaclesUniEq,AsphaltPavementTypeUniEq,AsphaltRegularityUniEq,Colposcopy,Covid3MonthDiscrete,DodgerLoopDayNmv,DodgerLoopGameNmv,DodgerLoopWeekendNmv,ElectricDeviceDetection,FloodModeling1Discrete,FloodModeling2Discrete,FloodModeling3Discrete,GestureMidAirD1Eq,GestureMidAirD2Eq,GestureMidAirD3Eq,GesturePebbleZ1Eq,GesturePebbleZ2Eq,KeplerLightCurves,MelbournePedestrianNmv,PhoneHeartbeatSound,PickupGestureWiimoteZEq,PLAIDEq,ShakeGestureWiimoteZEq,SharePriceIncrease,Tools
Hydra-MR,0.824467178175618,0.897142857142857,0.7633333333333331,0.9116666666666666,0.9099999999999999,0.9283333333333331,0.9929259259259258,0.7831597222222223,0.9772222222222224,1.0,0.8673333333333333,0.8263247863247863,0.8441025641025642,0.8469230769230769,0.9504357298474944,0.8069544364508394,0.8397342995169079,0.6959232613908873,0.7479616306954437,0.9053333333333333,0.9475703703703702,0.9905923344947737,0.9029265551376823,0.9843589743589743,0.9034090909090909,0.970959349593496,0.8455677655677659,0.9815238095238095,0.9553535353535355,0.9311934156378602,0.996222222222222,0.8507936507936511,0.9524324324324327,0.5359307359307358,0.6307291666666667,0.5078787878787877,0.6668855218855222,0.9648850016196956,0.9411555555555555,0.7557377049180328,0.8036529680365297,0.9527789623312012,0.9844444444444446,0.8097807017543861,0.6569264069264069,0.8504009163802981,0.5471861471861471,0.9039669861554845,0.9601017811704834,0.9681424936386769,0.8977777777777777,0.9694214876033058,0.8594017094017092,0.36460970464135023,1.0,0.8448780487804881,0.9101947308132877,0.8011382113821139,0.7485333333333334,0.6810666666666667,1.0,0.9454444444444445,0.8327111111111108,0.9437049362174152,0.9446659671213712,0.9797297297297296,0.9813177918083211,0.9724799999999997,0.9717922948073703,0.9922222222222221,0.9314327485380115,0.9399999999999998,1.0,0.996780801872988,1.0,0.9834822259445375,0.8777405546249769,0.8144611948632048,0.822184999069421,0.9997133895738698,0.9364197530864196,0.7868861024033438,0.7385281385281385,0.7891774891774893,0.9356000000000001,0.8343333333333334,1.0,0.7213333333333333,0.9984444444444447,0.9881169590643272,0.9968354430379746,1.0,1.0,1.0,0.9847389558232931,0.7275641025641026,0.926923076923077,0.8533653846153846,0.9798148148148146,0.9844444444444442,0.9851851851851855,0.981232492997199,0.9460555555555555,0.7697777777777779,0.9251111111111111,0.9817457044673539,0.9589553264604811,0.8718232044198894,0.8075506445672194,0.874,0.7782043650793649,0.9657920310981537,0.9570101351351351,0.9775114155251146,0.7652857142857142,0.8062857142857143,0.7307142857142858,0.8851662404092071,0.917550505050505,0.9868619618286729,0.375907590759076,0.7828571428571426,0.5480519480519479,0.8653543307086615,0.9809523809523806,0.9017692852087756,0.9616418966737438,0.9834048640915591,0.9655011655011656,0.7735897435897436,0.6366666666666665,0.48461538461538467,0.9571705426356588,0.9679324894514773,0.9245614035087719,0.9631450337789276,0.6507326007326008,0.8466666666666666,0.9391682184978273,0.9286666666666671,0.6647688060731537,0.8651741293532337
HC2,0.7944586530264279,0.8927619047619046,0.7655555555555558,0.9116666666666667,0.9466666666666664,0.9116666666666664,0.9964814814814813,0.7629253472222223,0.9969806763285026,1.0,0.8556000000000001,0.8402564102564103,0.84991452991453,0.857777777777778,0.9468409586056643,0.8110311750599519,0.8275362318840578,0.7074340527577937,0.7472422062350119,0.886666666666667,0.9484222222222221,0.9970189701897022,0.8990360091643972,0.9871005917159764,0.973863636363636,0.9750406504065041,0.8258608058608062,0.9845714285714282,0.953712121212121,0.9338683127572017,0.999111111111111,0.8612698412698416,0.9328828828828828,0.5584415584415584,0.6322916666666667,0.5310303030303031,0.6625589225589225,0.9623258827340461,0.9380444444444442,0.7743169398907105,0.7917808219178083,0.9759772565742715,0.988888888888889,0.8101315789473683,0.6781385281385283,0.8335624284077896,0.5703463203463204,0.9286208732694357,0.9541984732824426,0.9640542832909244,0.8955555555555557,0.9673553719008262,0.8437062937062937,0.40443037974683554,1.0,0.8551219512195125,0.8920962199312717,0.8115447154471546,0.8270222222222222,0.7427555555555555,1.0,0.9322777777777778,0.8487111111111112,0.9524126455906822,0.9452256033578176,0.9794594594594597,0.9818520317306135,0.9626133333333335,0.9726298157453938,0.998111111111111,0.9545321637426897,0.9594871794871793,1.0,0.9988879133743045,1.0,0.9756467522799182,0.861753210496929,0.7891587567466964,0.8008002977852224,1.0,0.9283950617283951,0.7642110762800416,0.76017316017316,0.8151515151515151,0.9303666666666667,0.8436666666666668,1.0,0.834533333333333,0.999263157894737,0.9947953216374271,0.9963080168776368,0.9998945147679325,0.99989417989418,1.0,0.9993306559571621,0.942948717948718,0.9793269230769232,0.9371794871794873,0.9716666666666666,0.9813333333333335,0.9877314814814818,0.9876750700280112,0.9728888888888889,0.8968888888888888,0.9527407407407407,0.9739243986254295,0.9524261168384881,0.8149171270718232,0.7862799263351749,0.8946666666666668,0.7601210317460318,0.9700680272108843,0.9546734234234237,0.9779680365296808,0.7364285714285715,0.7793333333333334,0.726952380952381,0.8883205456095483,0.8956755050505051,0.9789613848202398,0.39636963696369637,0.8147619047619049,0.5952380952380951,0.8433070866141732,0.9835978835978832,0.8886058032554848,0.9279547062986552,0.959370529327611,0.9269619269619273,0.7776923076923077,0.653076923076923,0.5407692307692307,0.9569767441860464,0.967510548523207,0.9654135338345867,0.9380336351875811,0.6452380952380952,0.7673333333333336,0.8875853507138423,0.9433333333333337,0.6869565217391304,0.8858208955223881
PF,0.7221653878942881,0.8836190476190476,0.5944444444444444,0.86,0.903333333333333,0.8055555555555558,0.9936296296296295,0.6311371527777777,0.9376570048309176,0.9916666666666667,0.7142666666666666,0.8004273504273505,0.79982905982906,0.802820512820513,0.9567538126361652,0.8021582733812948,0.8234299516908212,0.6920863309352517,0.7496402877697841,0.8730000000000001,0.9395111111111113,0.8828106852497097,0.8424415337396792,0.977061143984221,0.9454545454545453,0.9560975609756098,0.8259340659340663,0.9339047619047618,0.8500252525252525,0.8393827160493826,0.9913333333333332,0.7834920634920639,0.9118018018018019,0.4583333333333333,0.5744791666666667,0.561030303030303,0.6069023569023569,0.9560090702947845,0.8101333333333331,0.8486338797814209,0.7922374429223744,0.9720113717128644,0.9872222222222224,0.7714473684210524,0.6588744588744588,0.8240549828178698,0.5491341991341991,0.9149627263045794,0.9070568278201868,0.9379983036471585,0.878888888888889,0.8585399449035813,0.8290986790986791,0.32041139240506317,1.0,0.8401626016260163,0.8658648339060714,0.7907317073170734,0.6723555555555555,0.5719999999999997,0.7892592592592592,0.8900555555555555,0.7381333333333333,0.9201331114808651,0.899020636586219,0.9604504504504504,0.979569370244455,0.9530666666666666,0.967035175879397,0.9983333333333332,0.8355263157894737,0.885897435897436,1.0,0.981796897863623,0.9999916666666666,0.9730597431602455,0.8313977293876792,0.7672157081704821,0.7673832123580867,0.996144278606965,0.8561728395061731,0.7781609195402299,0.6930735930735932,0.7692640692640692,0.8874444444444444,0.6383333333333333,0.999111111111111,0.3240666666666666,0.9423508771929824,0.8233801169590643,0.996940928270042,0.9993670886075949,1.0,1.0,1.0,0.2754807692307693,0.7157051282051281,0.5004807692307692,0.9874074074074074,0.9979999999999999,0.9543981481481486,0.9369747899159665,0.9631111111111113,0.8908888888888888,0.9380740740740742,0.9638075601374572,0.9280549828178695,0.824401473296501,0.7776243093922652,0.7746666666666668,0.7531091269841271,0.9480193236714973,0.9104448198198197,0.9640410958904115,0.7667619047619048,0.7533809523809524,0.7419047619047617,0.8887468030690535,0.8926452020202019,0.9830448291167333,0.3290429042904291,0.7866666666666668,0.5883116883116883,0.8805774278215222,0.9846560846560846,0.8899150743099788,0.9634111818825196,0.9738912732474964,0.9644133644133643,0.6446153846153845,0.5394871794871794,0.3453846153846154,0.8996124031007752,0.9078059071729957,0.8947368421052629,0.9528388673278712,0.6380952380952379,0.8093333333333333,0.8798882681564245,0.897333333333333,0.6912698412698413,0.7674129353233833
InceptionT,0.8220801364023871,0.8803809523809523,0.6822222222222223,0.8933333333333332,0.9516666666666665,0.9011111111111113,0.996111111111111,0.8636111111111112,0.8321256038647342,0.9988095238095238,0.8658666666666668,0.8533333333333332,0.8598290598290598,0.8609401709401711,0.9508714596949889,0.7657074340527579,0.8153381642512075,0.6654676258992805,0.7311750599520385,0.8966666666666668,0.9421185185185185,0.9958575300038716,0.8901698871741668,0.9831952662721896,0.9386363636363636,0.976959349593496,0.8267399267399271,0.9727619047619047,0.9590404040404042,0.9406584362139919,0.9951111111111107,0.8504761904761907,0.942972972972973,0.537012987012987,0.625,0.5344242424242424,0.6273569023569024,0.960349854227405,0.9525333333333336,0.8169398907103825,0.8205479452054795,0.9626012793176973,0.9844444444444446,0.796359649122807,0.5943722943722943,0.8342497136311573,0.5274891774891775,0.8805644302449414,0.958083121289228,0.9621882951653943,0.8744444444444442,0.9524793388429751,0.8613442113442112,0.3344409282700422,0.9968253968253968,0.8221138211382116,0.9063001145475374,0.7816260162601626,0.7589333333333332,0.7060444444444446,0.9235185185185185,0.9380555555555553,0.7707555555555557,0.9541874653355518,0.9512766701643931,0.9754954954954954,0.9781285413631213,0.9697600000000001,0.9695812395309878,0.9957777777777774,0.9530701754385961,0.9635897435897435,1.0,0.9948200175592624,1.0,0.9511911408896333,0.8335380606737391,0.7707612134747813,0.7732179415596501,0.9986264330521305,0.887037037037037,0.7520898641588296,0.780952380952381,0.8025974025974024,0.9124111111111114,0.8266666666666664,0.9964444444444441,0.8751333333333335,0.9957426900584795,0.948830409356725,0.984071729957806,0.9983122362869197,1.0,1.0,1.0,0.9221153846153848,0.9333333333333333,0.9052884615384613,0.9862962962962963,0.9846666666666669,0.9798611111111111,0.9532212885154063,0.8846666666666667,0.5515555555555556,0.7628888888888891,0.9663780068728524,0.913333333333333,0.8835174953959484,0.814732965009208,0.628,0.7932559523809525,0.9648202137998056,0.9655123873873873,0.972831050228311,0.8183333333333334,0.8462857142857143,0.7810952380952382,0.9117647058823528,0.9324810606060605,0.9870395028850422,0.3768976897689769,0.5569047619047619,0.5225108225108224,0.8039370078740158,0.9804232804232804,0.7315728945506014,0.9599433828733192,0.9809728183118737,0.9574203574203575,0.7505128205128206,0.5820512820512819,0.38512820512820517,0.9711240310077521,0.9681434599156121,0.7484544695071011,0.9677015955153083,0.6521978021978021,0.7646666666666668,0.49497206703910623,0.8540000000000003,0.6521394064872327,0.8442786069651741
RSTSF,0.8119352088661551,0.826857142857143,0.7922222222222223,0.885,0.963333333333333,0.832777777777778,0.9787777777777776,0.7557725694444444,0.9951449275362321,1.0,0.8075999999999998,0.7637606837606837,0.7730769230769231,0.776666666666667,0.9371459694989106,0.8038369304556355,0.822705314009662,0.6940047961630694,0.752517985611511,0.8653333333333332,0.9460962962962963,0.9797522260936897,0.8790213115462758,0.9628994082840238,0.9284090909090909,0.9110406504065041,0.7579487179487184,0.9213333333333331,0.9778030303030303,0.9225925925925927,0.9862222222222223,0.8212698412698417,0.9030630630630633,0.5058441558441559,0.5901041666666667,0.6905454545454546,0.6553198653198652,0.966925817946226,0.8536,0.7710382513661201,0.7666666666666665,0.9698365316275763,0.9844444444444445,0.823859649122807,0.6967532467532467,0.8273768613974803,0.5948051948051948,0.9093716719914801,0.9389652247667516,0.9481085665818492,0.9122222222222223,0.8670798898071624,0.8414141414141413,0.3916315049226441,1.0,0.8525203252032524,0.8917525773195879,0.8120325203252036,0.7284444444444447,0.6401777777777778,0.9861111111111106,0.8827222222222222,0.8379555555555555,0.9043261231281199,0.9249387897866388,0.975045045045045,0.9787032540067991,0.9515733333333333,0.9509547738693466,0.9896666666666666,0.8730994152046784,0.8976923076923078,1.0,0.9652619256657886,0.9973250000000001,0.9600874744090826,0.8364786897450215,0.7607667969477013,0.7734598920528569,0.9998377676833227,0.8888888888888888,0.6759665621734587,0.7562770562770563,0.798268398268398,0.8888111111111111,0.8203333333333335,0.9997777777777778,0.7543333333333333,0.99940350877193,0.988982456140351,0.9872362869198312,0.9998945147679325,1.0,1.0,1.0,0.33749999999999997,0.8658653846153848,0.6969551282051281,1.0,0.983111111111111,0.959490740740741,0.9512605042016807,0.968777777777778,0.882888888888889,0.9417777777777779,0.9530584192439863,0.9078487972508591,0.7588397790055248,0.7578268876611419,0.8833333333333332,0.7735714285714287,0.9756073858114674,0.9433277027027028,0.9744292237442926,0.6874285714285715,0.7069523809523809,0.6811904761904761,0.8514066496163682,0.9300820707070707,0.989613848202397,0.4336633663366335,0.7914285714285716,0.6268398268398269,0.8551181102362201,0.9854497354497354,0.898469568294409,0.9671620665251238,0.9785407725321886,0.9642579642579642,0.6994871794871794,0.597179487179487,0.49948717948717947,0.9292635658914731,0.939240506329114,0.9512113617376774,0.9696852091418715,0.6586080586080585,0.7706666666666668,0.8827436374922407,0.8540000000000002,0.6929606625258796,0.8480099502487559
RDST,0.7398976982097187,0.8782857142857143,0.7422222222222222,0.9266666666666664,0.9133333333333332,0.9377777777777775,0.9909629629629628,0.7600347222222222,0.9821256038647345,0.9952380952380954,0.8216,0.8352991452991453,0.847094017094017,0.8555555555555557,0.9449891067538125,0.80431654676259,0.815942028985507,0.7052757793764987,0.7388489208633096,0.8886666666666668,0.9468518518518518,0.9933023615950446,0.8965719967146502,0.9860157790927022,0.9909090909090906,0.9763089430894312,0.8378021978021981,0.9841904761904762,0.9492424242424242,0.9286008230452673,0.9948888888888887,0.8482539682539686,0.9473873873873873,0.5706709956709957,0.6380208333333334,0.45884848484848484,0.6599663299663302,0.9511823777129901,0.9184888888888889,0.7612021857923496,0.7356164383561643,0.9551528073916132,0.9816666666666668,0.7743421052631578,0.6720779220779219,0.8264604810996568,0.5547619047619048,0.9317625133120339,0.9272603901611537,0.9423240033927058,0.9,0.9707988980716254,0.8290986790986792,0.3410864978902954,1.0,0.8455284552845529,0.8793814432989694,0.7970731707317075,0.7502222222222221,0.6462222222222221,0.9970370370370368,0.9396666666666665,0.8243555555555554,0.9371602884082085,0.9151451556488283,0.9792792792792792,0.9810344827586206,0.9634666666666668,0.9656616415410383,0.992444444444444,0.9491228070175435,0.9469230769230765,1.0,0.9951419373719634,0.9999833333333333,0.9820398287734972,0.8579936720640238,0.773748371487065,0.7966964451889075,0.999913476097772,0.947530864197531,0.7710553814002089,0.7225108225108223,0.7783549783549784,0.9295444444444442,0.8326666666666664,0.9822222222222223,0.7383999999999998,0.9970760233918131,0.9796374269005849,0.9914556962025317,0.9997890295358649,1.0,1.0,0.9651941097724231,0.7809294871794875,0.932371794871795,0.9072115384615387,0.980185185185185,0.9922222222222222,0.9747685185185185,0.9742296918767508,0.9206666666666669,0.6952592592592595,0.8867407407407407,0.9794364261168386,0.9564123711340206,0.7794659300184161,0.7267034990791895,0.8719999999999999,0.7681091269841271,0.9684159378036928,0.9581644144144145,0.9755707762557081,0.7103333333333333,0.7328095238095238,0.6776190476190476,0.8799658994032395,0.8923926767676769,0.9769196626719927,0.396039603960396,0.7902380952380953,0.6108225108225108,0.8083989501312335,0.9835978835978832,0.9002476999292287,0.9303609341825901,0.9585121602288983,0.9263403263403265,0.7425641025641025,0.622051282051282,0.5192307692307692,0.9713178294573642,0.9748945147679328,0.9284043441938181,0.9594652867615351,0.6686813186813186,0.8220000000000002,0.9177529484792054,0.9373333333333336,0.6602484472049688,0.8626865671641791
FreshPRINCE,0.8083546462063088,0.7883809523809525,0.7911111111111111,0.8816666666666666,0.9233333333333331,0.7961111111111113,0.9876666666666665,0.7750086805555553,0.9493719806763286,0.9892857142857143,0.8233333333333335,0.7235897435897435,0.7268376068376068,0.7348717948717948,0.9169934640522877,0.8038369304556353,0.8334541062801933,0.6985611510791365,0.7508393285371703,0.8533333333333334,0.9448888888888889,0.9996902826171119,0.9083387368694074,0.9431952662721894,0.8306818181818183,0.8892357723577238,0.7176556776556777,0.8862857142857143,1.0,0.9206995884773661,0.9555555555555558,0.7774603174603177,0.914864864864865,0.504004329004329,0.6015625,0.5339393939393939,0.6480134680134678,0.9607709750566894,0.8929777777777778,0.7683060109289617,0.7333333333333332,0.9641080312722103,0.9805555555555557,0.8053070175438595,0.6764069264069265,0.8458190148911802,0.57987012987013,0.8717784877529287,0.9318914334181508,0.944885496183206,0.8788888888888889,0.8696969696969696,0.8477078477078476,0.35571378340365684,0.9952380952380953,0.8411382113821139,0.8955326460481102,0.8130081300813008,0.7474666666666664,0.6724444444444444,0.9998148148148148,0.8910555555555554,0.8289777777777777,0.941819190238491,0.9333683105981113,0.9659459459459457,0.978812530354541,0.9484266666666663,0.9431155778894473,0.9958888888888887,0.8543859649122807,0.8984615384615385,1.0,0.9670471173544043,0.9970666666666664,0.9617718220733298,0.837465103294249,0.7687232458589243,0.7776288851665736,0.9999837767683322,0.8969135802469133,0.6291013584117032,0.7727272727272727,0.7935064935064935,0.9239444444444445,0.8,0.9991111111111111,0.5734666666666666,0.9938362573099412,0.9654152046783627,0.978270042194093,0.9938818565400841,1.0,1.0,0.9998661311914323,0.45384615384615384,0.8705128205128205,0.7157051282051282,0.9583333333333334,0.9715555555555557,0.9824074074074076,0.9492997198879553,0.9602222222222224,0.8861481481481482,0.9413333333333334,0.9498281786941583,0.8984329896907217,0.7685082872928177,0.6960405156537753,0.8473333333333335,0.7679146825396825,0.9727891156462587,0.946143018018018,0.9719178082191784,0.6882380952380952,0.7142857142857143,0.6749047619047618,0.8572037510656435,0.9293244949494951,0.9865956502441188,0.41188118811881197,0.7890476190476192,0.5744588744588746,0.8488188976377952,0.9788359788359785,0.8967799009200282,0.9694267515923567,0.9829756795422029,0.9743589743589745,0.7066666666666668,0.6135897435897435,0.4746153846153847,0.9439922480620156,0.9440928270042195,0.9656641604010027,0.964424320827943,0.6525641025641025,0.798,0.8887026691495965,0.904666666666667,0.6943754313319531,0.8699004975124379
WEASEL-D,0.8178175618073315,0.8851428571428571,0.7766666666666667,0.9466666666666664,0.933333333333333,0.9077777777777778,0.9806666666666667,0.7680295138888887,0.9258212560386473,0.9976190476190477,0.7802666666666664,0.8151282051282053,0.8152991452991454,0.8280341880341882,0.9485838779956425,0.816786570743405,0.8352657004830917,0.7050359712230214,0.7453237410071942,0.8876666666666666,0.9481259259259258,0.9825783972125437,0.8833182034323261,0.9800197238658777,0.9045454545454548,0.9545365853658537,0.814578754578755,0.9803809523809522,0.9602272727272728,0.9381893004115226,0.9955555555555552,0.8615873015873018,0.9409909909909911,0.5230519480519481,0.603125,0.45369696969696965,0.6531481481481481,0.9532879818594104,0.8604444444444447,0.7081967213114756,0.7598173515981734,0.9516702203269367,0.9827777777777779,0.7817982456140349,0.7173160173160174,0.8336769759450176,0.5859307359307361,0.9445686900958469,0.9321289228159457,0.9569465648854959,0.9311111111111112,0.9725895316804405,0.8444832944832944,0.3382735583684951,1.0,0.8593495934959352,0.8965635738831618,0.8019512195121952,0.7711111111111111,0.5617777777777778,0.9996296296296295,0.9405000000000001,0.8064888888888888,0.9536882972823072,0.9536201469045121,0.9781981981981982,0.9812975554476283,0.9667733333333336,0.9698157453936348,0.9836666666666666,0.9536549707602333,0.9530769230769229,1.0,0.9974246414983903,0.9945083333333332,0.9611762516285131,0.8414200632793597,0.77534896705751,0.7882281779266704,0.9995890114644171,0.9574074074074073,0.7507836990595613,0.7177489177489178,0.7792207792207791,0.9253777777777776,0.8290000000000001,0.9924444444444444,0.6864666666666666,0.9956023391812866,0.9449590643274853,0.9933544303797469,0.9978902953586496,0.9961904761904762,1.0,0.9804551539491301,0.8628205128205129,0.9576923076923076,0.9440705128205129,0.9262962962962963,0.9757777777777777,0.971064814814815,0.9568627450980393,0.9428333333333334,0.6665925925925926,0.9111851851851853,0.9717663230240551,0.9493745704467356,0.7497237569060774,0.6915285451197054,0.8766666666666665,0.758688492063492,0.9724975704567541,0.9533783783783782,0.9762557077625575,0.7007619047619047,0.7315714285714285,0.6916666666666667,0.8837169650468883,0.7995580808080808,0.9327119396360408,0.3828382838283829,0.7928571428571428,0.6038961038961038,0.8425196850393699,0.9793650793650789,0.8931086341118188,0.8941259731068648,0.9590844062947068,0.9036519036519037,0.7333333333333331,0.6333333333333332,0.4471794871794873,0.9610465116279071,0.969198312236287,0.9238930659983292,0.9208854391260599,0.6408424908424907,0.8206666666666668,0.8985102420856611,0.9273333333333336,0.6861628709454798,0.882587064676617
